"(55.89167755991286, 101.7201733644791)"
"(380.84908490849085, 415.2386319203055)"
"(213.74400479616307, 321.14927172617257)"
"(242.35101174934726, 315.68184394248084)"
"(194.42331066415858, 330.5454306747239)"
"(180.61023211747985, 283.6516823191892)"
"(141.382403680276, 222.83286675566467)"
"(262.2190943698658, 364.28871801113917)"
"(243.62841952634122, 410.2610902457254)"
"(212.39728884254433, 360.2428827187106)"
"(359.4894602514415, 465.8990831942309)"
"(193.24090953641087, 399.30241483006733)"
"(251.43947392794294, 379.98560850966726)"
"(295.0080357142857, 506.72240866119864)"
"(188.03416856492026, 284.10418929426703)"
"(110.39871824216068, 308.8190826033655)"
"(296.47474982545964, 415.8701475693732)"
"(312.8919995805809, 452.43489202934455)"
"(253.7928442573662, 402.7121386641909)"
"(355.3518220539517, 438.6274916264921)"
