"(50.20032422417786, 108.17366203396953)"
"(159.57525626712678, 277.7294133910937)"
"(181.70396346436144, 290.3343287635847)"
"(325.4224212655302, 412.35713612197765)"
"(189.55589386689866, 307.4621153898695)"
"(208.98332590280873, 368.2911150431096)"
"(365.75058275058274, 502.3976227625664)"
"(132.18565887409582, 285.5430445597916)"
"(213.76817818617658, 382.34267978400936)"
"(286.4055090303703, 503.6873562100825)"
"(234.65307346326836, 362.4578020303483)"
"(340.93246051537824, 518.457149719347)"
"(272.6696384833937, 421.99374298252246)"
"(336.05348727615456, 440.0903174104444)"
"(131.0457811348563, 256.002527795927)"
"(248.30648444315207, 406.226790572845)"
"(303.51220442410374, 439.60148974376744)"
"(209.40323653291952, 287.93768396204274)"
"(233.08605919003116, 385.2448421305888)"
"(177.37897378694925, 300.1464236341464)"
"(156.0311993517018, 293.29451969423206)"
